%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1495100186801322716,67.3086700439,-494.601409912,19.7211818695,-18.1678676605,-0.157890111208,0.000679916644003
1495100186851833887,63.3418769836,-497.45413208,10.8491153717,-18.4256954193,0.16618975997,0.00068568700226
1495100186901795197,67.4228363037,-494.622497559,19.5304946899,-18.2139987946,-0.164518028498,0.000686594692525
1495100186951818670,63.1634864807,-497.50177002,10.3727588654,-18.0083179474,0.179900363088,0.000701982527971
1495100187001262942,67.7749938965,-494.428405762,19.7573451996,-17.776714325,-0.177590206265,0.000685543694999
1495100187051672220,63.2670326233,-497.468078613,11.8655977249,-16.1428527832,0.188505634665,0.000698222836945
1495100187101423799,67.7431640625,-494.124938965,21.4351768494,-15.8815021515,-0.177161991596,0.000629727204796
1495100187151700861,63.3258934021,-497.846923828,13.815413475,-13.9731197357,0.191854894161,0.00063580746064
1495100187201624596,67.863861084,-493.581481934,22.8959941864,-13.6713266373,-0.157211467624,0.000556400045753
1495100187251617958,63.7893066406,-498.036987305,15.4463014603,-13.3349161148,0.167498856783,0.000542314839549
1495100187302437832,67.9176635742,-493.287780762,21.9527511597,-15.4133453369,-0.161198526621,0.000519277062267
1495100187351742152,63.4182090759,-497.984344482,13.9893293381,-14.4331464767,0.198086336255,0.000600742641836
1495100187401944343,68.4374923706,-493.136535645,23.8002243042,-14.106710434,-0.179349601269,0.000551241682842
1495100187451664774,63.7363891602,-498.241363525,11.5110731125,-17.4198150635,0.18596097827,0.000549231423065
1495100187501319834,69.1826782227,-493.387786865,22.4752635956,-17.1005992889,-0.233104914427,0.000655593874399
1495100187551787909,62.9960708618,-498.114349365,8.47227859497,-18.2135047913,0.248919487,0.000665327999741
1495100187601143070,69.8262710571,-493.432189941,21.7783164978,-17.8668899536,-0.257101297379,0.000691873254254
1495100187651792527,62.7725219727,-497.902252197,7.83915519714,-17.5109348297,0.286151260138,0.000706800143234
1495100187702094731,70.0376205444,-493.317016602,22.4467144012,-17.141664505,-0.269426107407,0.000679802964441
1495100187751683651,62.5708122253,-498.191162109,9.07880496979,-16.0709323883,0.293733149767,0.000689409498591
1495100187801483771,70.3688354492,-492.698242188,24.0225772858,-15.6398572922,-0.276192009449,0.000635218981188
1495100187851605855,62.8261604309,-498.495330811,12.4992637634,-12.6017599106,0.287259697914,0.000633940158878
1495100187902036287,69.9211654663,-491.909393311,26.150062561,-12.126914978,-0.238230198622,0.000507406715769
1495100187951674098,63.3837013245,-499.35333252,17.0060920715,-7.13911342621,0.238530546427,0.000501304108184
1495100188001428608,69.1122589111,-490.699615479,26.9800930023,-6.69193172455,-0.154650703073,0.000305010471493
1495100188051798141,64.7980957031,-499.859069824,20.2665138245,-4.41305828094,0.151931703091,0.000300132203847
1495100188101972890,68.6441192627,-489.845916748,26.5095100403,-4.06038665771,-0.103310659528,0.000204087613383
1495100188151667965,65.3989944458,-500.124786377,21.200258255,-5.11277294159,0.107993669808,0.000209142657695
1495100188201278812,69.3356170654,-489.08114624,26.7489395142,-4.73870182037,-0.121877737343,0.000233002676396
1495100188251306474,65.174697876,-499.998077393,21.5244102478,1.11829507351,0.134645938873,0.000251106102951
1495100188301884553,67.6249008179,-488.946105957,24.1807994843,-3.87803483009,-0.0187875870615,2.93631401291e-05
1495100188351610220,65.1928634644,-499.599914551,21.7313690186,5.17489242554,0.121863044798,0.000228413045988
1495100188401728743,66.4363174438,-488.532073975,22.9581203461,5.27430772781,0.0535775534809,-0.000108677973913
1495100188451704092,68.5317459106,-499.975158691,24.2386837006,13.2118682861,-0.0569296181202,-0.000102748410427
1495100188501763045,63.7255744934,-488.131866455,17.1284484863,12.8506603241,0.197334066033,-0.000377459247829
1495100188551401130,71.6677627563,-499.16293335,27.9430999756,13.087729454,-0.202607616782,-0.000386738072848
1495100188601462873,63.765422821,-486.714660645,13.4101285934,18.4253005981,0.19034332037,-0.00037391812657
1495100188651581466,74.5965881348,-498.279815674,15.2779121399,25.8314552307,-0.287645220757,-0.000601495092269
1495100188701806291,58.6271095276,-490.520874023,-1.6573830843,25.1813659668,0.382275909185,-0.000833130266983
1495100188751794421,76.7052230835,-494.845092773,16.5670547485,25.8387069702,-0.344308823347,-0.000823332578875
1495100188801297153,58.5133399963,-489.597747803,-3.88177323341,26.1909313202,0.323492974043,-0.000823456561193
1495100188851706778,77.1274490356,-493.659759521,8.50153636932,26.9713497162,-0.306269139051,-0.000853369187098
1495100188901763979,58.3219833374,-491.484619141,-5.72226715088,26.7209854126,0.274110078812,-0.000867699913215
1495100188951972251,76.512588501,-493.21270752,6.89169645309,27.1590709686,-0.243267804384,-0.000859989435412
1495100189001464785,58.9171180725,-491.384246826,-7.16156721115,26.8462963104,0.226105824113,-0.000867303053383
1495100189051746038,75.9156417847,-492.416259766,2.81615829468,27.1316337585,-0.18878094852,-0.000854888756294
1495100189101953474,59.6015853882,-492.051086426,-3.45353865623,27.1146907806,0.174589648843,-0.000862876768224
1495100189151609087,75.1869735718,-492.988891602,4.17573547363,27.1975345612,-0.147197008133,-0.0008695096476
1495100189201411513,60.525188446,-491.523651123,-2.28824949265,27.040977478,0.128135994077,-0.000865735986736
1495100189251555249,74.456237793,-492.673065186,3.06910085678,27.0640735626,-0.103084877133,-0.000871527008712
1495100189301456357,61.3215942383,-491.645690918,-2.16041016579,26.9432678223,0.0926697254181,-0.000866186863277
1495100189351495679,73.5924530029,-492.609436035,1.43333911896,26.968252182,-0.0682125017047,-0.000870697549544
1495100189401419071,62.2034912109,-491.484375,-2.29544210434,26.8349704742,0.0587368495762,-0.000867052003741
1495100189451328137,72.7263565063,-492.171325684,-0.369942158461,26.9295921326,-0.0346856862307,-0.000865497277118
1495100189501545209,62.9578933716,-491.598999023,-3.73074555397,26.6689453125,0.0338588133454,-0.000866138492711
1495100189551401689,71.8870620728,-492.020202637,-2.81172966957,26.8430290222,-0.0141428941861,-0.000853502599057
1495100189601895400,63.7513465881,-491.393768311,-3.31994724274,26.7264118195,0.0060598696582,-0.000859469524585
